PHY412,LEC: MW 10:00-11:00 REQ;Th 14:00-15:00 REQ;TUT:
SE316,LEC: MW 10:00-11:00 REQ;Th 14:00-15:00 REQ;TUT:
ME341A,LEC: MW 11:00-12:00 L6;F 14:00-15:00 L6;
MBA647A,LEC: MW 14:00-15:30 C2;
MBA647,LEC: MW 14:00-15:30 C2;
EE662,LEC: MW 14:00-15:30 REQ;
ME728,LEC: MW 14:00-15:30 REQ;
EE662A,LEC: MW 14:00-15:30 REQ;
MSE681A,LEC: MW 14:00-15:30 REQ;
MSE681,LEC: MW 14:00-15:30 REQ;
ME728A,LEC: MW 14:00-15:30 REQ;
MBA661,LEC: MW 15:30-17:00 C1;
IME641,LEC: MW 15:30-17:00 C1;
MBA661A,LEC: MW 15:30-17:00 C1;
IME641A,LEC: MW 15:30-17:00 C1;
MBA652A,LEC: MW 15:30-17:00 C2;
MBA652,LEC: MW 15:30-17:00 C2;
EE666A,LEC: MW 15:30-17:00 REQ;
MSE604A,LEC: MW 15:30-17:00 REQ;
CHE463,LEC: MW 15:30-17:00 REQ;
CHM696,LEC: MW 15:30-17:00 REQ;
EE626A,LEC: MW 15:30-17:00 REQ;
EE666,LEC: MW 15:30-17:00 REQ;
PHY617,LEC: MW 15:30-17:00 REQ;
CHM696A,LEC: MW 15:30-17:00 REQ;
MSE604,LEC: MW 15:30-17:00 REQ;
CS422A,LEC: MW 15:30-17:00 REQ;
EE626,LEC: MW 15:30-17:00 REQ;
AE604,LEC: MW 17:00-18:30 AE04;
MBA607,LEC: MW 17:00-18:30 C2;
MBA607A,LEC: MW 17:00-18:30 C2;
IME624,LEC: MW 17:00-18:30 C3;
IME624A,LEC: MW 17:00-18:30 C3;
MBA640A,LEC: MW 17:00-18:30 C5;
MBA640,LEC: MW 17:00-18:30 C5;
MSE628,LEC: MW 17:00-18:30 REQ;
CS698E,LEC: MW 17:00-18:30 REQ;
MTH653A,LEC: MW 17:00-18:30 REQ;
ME626A,LEC: MW 17:00-18:30 REQ;
MTH653,LEC: MW 17:00-18:30 REQ;
PHY695,LEC: MW 17:00-18:30 REQ;
MTH759A,LEC: MW 17:00-18:30 REQ;
EE686,LEC: MW 17:00-18:30 REQ;
EE686A,LEC: MW 17:00-18:30 REQ;
ME626,LEC: MW 17:00-18:30 REQ;
CHM626,LEC: MW 17:00-18:30 REQ;
CHM626A,LEC: MW 17:00-18:30 REQ;
MTH759,LEC: MW 17:00-18:30 REQ;
CHE688,LEC: MW 17:00-18:30 REQ;
MSE628A,LEC: MW 17:00-18:30 REQ;
MTH522,LEC: MW 17:00-18:30 REQ;TUT: F 12:00-13:00 REQ;
MTH522A,LEC: MW 17:00-18:30 REQ;TUT: F 12:00-13:00 REQ;
AE681,LEC: MWF 09:00-10:00 AE04;
AE211A,LEC: MWF 09:00-10:00 AE04;TUT: Th 09:00-10:00
CS345A,LEC: MWF 09:00-10:00 HRKD101;
CHE331A,LEC: MWF 09:00-10:00 L13;
MTH308A,LEC: MWF 09:00-10:00 L8;TUT: Th 09:00-10:00 L8;
MTH308,LEC: MWF 09:00-10:00 L8;TUT: Th 09:00-10:00 L8;
PHY692,LEC: MWF 09:00-10:00 REQ;
ME623,LEC: MWF 09:00-10:00 REQ;
ME623A,LEC: MWF 09:00-10:00 REQ;
ME634,LEC: MWF 09:00-10:00 REQ;
CHE659,LEC: MWF 09:00-10:00 REQ;
EE321A,LEC: MWF 09:00-10:00 REQ;
ME634A,LEC: MWF 09:00-10:00 REQ;
CS646,LEC: MWF 09:00-10:00 REQ;
MS602,LEC: MWF 09:00-10:00 REQ;
MTH511A,LEC: MWF 09:00-10:00 REQ;TUT: Th 09:00-10:00
MTH513A,LEC: MWF 09:00-10:00 REQ;TUT: Th 09:00-10:00
MTH513,LEC: MWF 09:00-10:00 REQ;TUT: Th 09:00-10:00
MTH511,LEC: MWF 09:00-10:00 REQ;TUT: Th 09:00-10:00
CHM202A,LEC: MWF 09:00-10:00 T206;
CHM302,LEC: MWF 09:00-10:00 T206;
PHY610,LEC: MWF 09:00-10:30 REQ;
ECO221A,LEC: MWF 10:00-11:00 FB657;
CHM222A,LEC: MWF 10:00-11:00 L16;
MSE202A,LEC: MWF 10:00-11:00 L1;TUT: T 10:00-11:00 L1;
EE210A,LEC: MWF 10:00-11:00 L2;TUT: T 10:00-11:00
CHE211A,LEC: MWF 10:00-11:00 L3;
CE242A,LEC: MWF 10:00-11:00 L4;
ME231A,LEC: MWF 10:00-11:00 L6;
MTH102A,LEC: MWF 10:00-11:00 L7;T 10:00-11:00
MS605,LEC: MWF 10:00-11:00 REQ;
LT611,LEC: MWF 10:00-11:00 SL215;
PHY103A,LEC: MWF 11:00-12:00 L7;TUT: T 11:00-12:00
MS614,LEC: MWF 11:00-12:00 REQ;
ESC101A,LEC: MWF 12:00-13:00 L7;TUT: T 12:00-13:00
PHY621,LEC: MWF 14:00-15:00 REQ;
PHY102A,LEC: MWF 15:00-16:00 L7;TUT: Th 15:00-16:00
ENG112,LEC: MWF 17:00-18:00 T106;TUT: Th 17:00-18:00
ENG112C,LEC: MWF 17:00-18:00 T106;TUT: Th 17:00-18:00
ESO210,LEC: MWTh 12:00-13:00 L16;TUT: F 17:00-18:00
ESO203A,LEC: MWTh 12:00-13:00 L16;TUT: F 17:00-18:00
CSO202A,LEC: MWTh 12:00-13:00 L17;TUT: F 17:00-18:00
SE331,LEC: MWTh 12:00-13:00 L17;TUT: F 17:00-18:00
CSO201A,LEC: MWTh 12:00-13:00 L1;TUT: F 17:00-18:00
ESO201A,LEC: MWTh 12:00-13:00 L3;TUT: F 17:00-18:00
ESO202,LEC: MWTh 12:00-13:00 L3;TUT: F 17:00-18:00
ESC201A,LEC: MWTh 17:00-18:00 L7;TUT: T 17:00-18:00
ART105A,LEC: MWTh 17:00-18:00 REQ;
ART105,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
ECO101,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
ECO101A,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
PSY151A,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
SOC171A,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
PSY151,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
ENG124A,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
ENG124,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
PHI140,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
SOC171,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
PHI140A,LEC: MWTh 17:00-18:00 REQ;TUT: T 17:00-18:00
MBA678A,LEC: T 08:00-09:00 C2;Th 17:00-18:30 C2;
CHE391A,LEC: T 08:00-09:00 L13;
TA202A,LEC: T 08:00-09:00 L7;
TA201A,LEC: T 09:00-10:00 L7;
AE648,LEC: T 10:30-12:00 AE04;Th 12:00-13:30 AE04;
BSE631,LEC: T 10:30-12:00 BSBH;Th 12:00-13:30 BSBH;
MBA621A,LEC: T 10:30-12:00 C1;Th 12:00-13:30 C1;
MBA621,LEC: T 10:30-12:00 C1;Th 12:00-13:30 C1;
MBA677,LEC: T 10:30-12:00 C2;Th 12:00-13:30 C2;
MBA677A,LEC: T 10:30-12:00 C2;Th 12:00-13:30 C2;
EE644,LEC: T 10:30-12:00 REQ;Th 12:00-13:30 REQ;
MTH631,LEC: T 10:30-12:00 REQ;Th 12:00-13:30 REQ;
EE670A,LEC: T 10:30-12:00 REQ;Th 12:00-13:30 REQ;
EE635,LEC: T 10:30-12:00 REQ;Th 12:00-13:30 REQ;
MTH631A,LEC: T 10:30-12:00 REQ;Th 12:00-13:30 REQ;
